,0,1
250,"[3, 1, 3, 1]",1.0
251,"[4, 2, 3, 1]",1.0
252,"[1, 2, 1, 1]",1.0
253,"[5, 3, 2, 2]",1.0
254,"[2, 1, 0, 1]",0.0
255,"[5, 2, 3, 1]",1.0
256,"[0, 0, 0, 0]",0.0
257,"[0, 1, 0, 1]",0.0
258,"[3, 3, 2, 1]",1.0
259,"[2, 2, 2, 2]",0.0
260,"[4, 2, 2, 1]",1.0
261,"[3, 0, 0, 2]",0.0
262,"[3, 1, 2, 1]",0.0
263,"[4, 1, 3, 1]",1.0
264,"[7, 3, 2, 2]",0.0
265,"[2, 2, 2, 1]",1.0
266,"[0, 1, 2, 1]",0.0
267,"[0, 0, 0, 2]",0.0
268,"[4, 1, 0, 2]",0.0
269,"[0, 1, 0, 1]",0.0
270,"[2, 6, 4, 2]",1.0
271,"[3, 1, 5, 1]",0.0
272,"[3, 1, 2, 5]",0.0
273,"[0, 3, 0, 1]",0.0
274,"[5, 3, 1, 2]",1.0
275,"[0, 0, 0, 0]",0.0
276,"[0, 0, 1, 1]",0.0
277,"[12, 1, 0, 8]",0.0
278,"[0, 1, 0, 1]",0.0
279,"[10, 2, 2, 4]",0.0
280,"[1, 4, 3, 1]",1.0
281,"[5, 4, 3, 1]",1.0
282,"[1, 0, 1, 4]",0.0
283,"[3, 2, 2, 1]",1.0
284,"[6, 1, 4, 9]",0.0
285,"[5, 4, 2, 2]",1.0
286,"[0, 0, 0, 0]",0.0
287,"[5, 3, 3, 2]",1.0
288,"[1, 0, 1, 2]",0.0
289,"[2, 2, 3, 1]",1.0
290,"[2, 1, 7, 3]",0.0
291,"[4, 2, 2, 1]",1.0
292,"[2, 1, 0, 2]",0.0
293,"[1, 1, 1, 1]",0.0
294,"[1, 1, 1, 1]",0.0
295,"[1, 1, 2, 1]",0.0
296,"[6, 4, 4, 1]",1.0
297,"[0, 0, 0, 0]",0.0
298,"[4, 3, 5, 1]",1.0
299,"[6, 3, 3, 1]",1.0
300,"[4, 1, 0, 6]",0.0
301,"[0, 0, 0, 0]",0.0
302,"[1, 1, 0, 3]",0.0
303,"[1, 0, 0, 2]",0.0
304,"[4, 0, 3, 2]",0.0
305,"[5, 4, 4, 1]",1.0
306,"[2, 1, 3, 1]",0.0
307,"[0, 0, 0, 0]",0.0
308,"[5, 2, 3, 1]",1.0
309,"[4, 0, 2, 2]",0.0
310,"[2, 2, 2, 1]",0.0
311,"[0, 0, 0, 1]",0.0
312,"[5, 3, 3, 1]",1.0
313,"[2, 1, 1, 4]",0.0
314,"[15, 2, 1, 7]",0.0
315,"[3, 1, 0, 2]",0.0
316,"[2, 3, 4, 1]",1.0
317,"[6, 1, 5, 1]",1.0
318,"[9, 4, 3, 16]",0.0
319,"[1, 0, 0, 1]",0.0
320,"[3, 2, 1, 2]",0.0
321,"[2, 1, 0, 1]",0.0
322,"[1, 2, 0, 1]",0.0
323,"[3, 2, 1, 1]",0.0
324,"[0, 0, 0, 1]",0.0
325,"[2, 0, 2, 1]",0.0
326,"[2, 0, 2, 1]",0.0
327,"[2, 2, 4, 10]",0.0
328,"[1, 4, 4, 1]",1.0
329,"[5, 2, 4, 1]",1.0
330,"[4, 0, 0, 2]",0.0
331,"[1, 1, 0, 1]",0.0
332,"[3, 3, 4, 1]",1.0
333,"[4, 4, 4, 3]",1.0
334,"[2, 5, 4, 2]",1.0
335,"[3, 2, 4, 1]",1.0
336,"[5, 3, 4, 1]",1.0
337,"[5, 3, 3, 1]",1.0
338,"[1, 1, 0, 1]",0.0
339,"[12, 3, 1, 6]",0.0
340,"[4, 4, 2, 10]",0.0
341,"[6, 3, 5, 1]",1.0
342,"[2, 0, 2, 1]",0.0
343,"[1, 1, 0, 1]",0.0
344,"[2, 3, 1, 2]",1.0
345,"[3, 2, 4, 1]",1.0
346,"[5, 5, 4, 2]",1.0
347,"[0, 0, 0, 0]",0.0
348,"[0, 0, 0, 0]",0.0
349,"[1, 1, 1, 1]",0.0
350,"[2, 1, 0, 1]",0.0
351,"[0, 0, 0, 0]",0.0
352,"[0, 0, 0, 1]",0.0
353,"[4, 3, 4, 1]",1.0
354,"[4, 3, 5, 1]",1.0
355,"[2, 4, 3, 4]",0.0
356,"[1, 0, 3, 2]",0.0
357,"[3, 3, 4, 1]",1.0
358,"[7, 2, 2, 3]",0.0
359,"[6, 4, 2, 1]",1.0
360,"[3, 1, 0, 3]",0.0
361,"[3, 1, 2, 2]",0.0
362,"[2, 2, 1, 1]",0.0
363,"[0, 1, 0, 1]",0.0
364,"[1, 0, 0, 2]",0.0
365,"[4, 3, 1, 1]",1.0
366,"[4, 0, 4, 5]",0.0
367,"[0, 2, 0, 1]",0.0
368,"[3, 3, 6, 1]",1.0
369,"[0, 0, 0, 1]",0.0
370,"[3, 4, 1, 1]",1.0
371,"[3, 1, 1, 6]",0.0
372,"[2, 0, 0, 2]",0.0
373,"[5, 0, 1, 1]",0.0
374,"[2, 3, 3, 1]",1.0
375,"[6, 3, 3, 2]",0.0
376,"[5, 2, 2, 2]",1.0
377,"[0, 0, 0, 4]",0.0
378,"[1, 4, 1, 1]",1.0
379,"[0, 2, 4, 1]",0.0
380,"[2, 3, 2, 1]",1.0
381,"[0, 0, 0, 0]",0.0
382,"[4, 2, 3, 1]",1.0
383,"[0, 0, 0, 0]",0.0
384,"[5, 4, 2, 1]",1.0
385,"[3, 4, 4, 1]",1.0
386,"[0, 0, 1, 2]",0.0
387,"[4, 3, 4, 1]",1.0
388,"[4, 1, 4, 1]",0.0
389,"[0, 0, 0, 0]",0.0
390,"[3, 2, 4, 1]",1.0
391,"[0, 0, 0, 2]",0.0
392,"[0, 0, 0, 1]",0.0
393,"[4, 0, 3, 6]",0.0
394,"[2, 2, 0, 1]",0.0
395,"[1, 3, 4, 1]",1.0
396,"[1, 0, 5, 2]",0.0
397,"[0, 0, 0, 0]",0.0
398,"[4, 2, 4, 1]",1.0
399,"[2, 2, 0, 1]",0.0
400,"[2, 0, 0, 1]",0.0
401,"[3, 3, 5, 1]",1.0
402,"[5, 2, 5, 2]",0.0
403,"[2, 1, 0, 2]",0.0
404,"[1, 1, 0, 1]",0.0
405,"[2, 1, 0, 3]",0.0
406,"[0, 0, 0, 0]",0.0
407,"[7, 2, 2, 1]",1.0
408,"[0, 3, 3, 4]",0.0
409,"[0, 0, 0, 0]",0.0
410,"[5, 2, 2, 1]",1.0
411,"[1, 4, 2, 1]",1.0
412,"[3, 2, 3, 1]",1.0
413,"[3, 0, 3, 1]",0.0
414,"[1, 0, 1, 3]",0.0
415,"[3, 2, 2, 5]",0.0
416,"[13, 1, 4, 8]",0.0
417,"[1, 1, 1, 1]",0.0
418,"[0, 0, 0, 0]",0.0
419,"[5, 0, 4, 2]",0.0
420,"[4, 3, 2, 1]",1.0
421,"[0, 0, 0, 0]",0.0
422,"[3, 2, 3, 1]",1.0
423,"[1, 1, 0, 1]",0.0
424,"[3, 3, 3, 1]",1.0
425,"[4, 0, 5, 2]",0.0
426,"[2, 2, 0, 1]",0.0
427,"[4, 3, 6, 2]",1.0
428,"[3, 3, 3, 1]",1.0
429,"[7, 3, 0, 4]",0.0
430,"[0, 0, 0, 0]",0.0
431,"[1, 0, 1, 4]",0.0
432,"[2, 0, 4, 1]",1.0
433,"[5, 3, 1, 1]",1.0
434,"[0, 0, 0, 0]",0.0
435,"[2, 3, 2, 1]",1.0
436,"[2, 3, 2, 1]",1.0
437,"[7, 1, 0, 2]",0.0
438,"[3, 4, 2, 2]",1.0
439,"[4, 0, 0, 2]",0.0
440,"[6, 4, 5, 1]",1.0
441,"[0, 0, 0, 0]",0.0
442,"[4, 3, 3, 1]",1.0
443,"[1, 2, 2, 1]",0.0
444,"[7, 3, 4, 1]",1.0
445,"[8, 3, 3, 1]",1.0
446,"[0, 0, 0, 0]",0.0
447,"[4, 2, 1, 5]",0.0
448,"[10, 2, 3, 1]",1.0
449,"[0, 0, 0, 3]",0.0
450,"[5, 1, 3, 1]",1.0
451,"[4, 2, 4, 1]",1.0
452,"[5, 0, 1, 2]",0.0
453,"[3, 1, 2, 6]",0.0
454,"[1, 0, 0, 1]",0.0
455,"[3, 2, 3, 1]",1.0
456,"[4, 3, 3, 1]",1.0
457,"[1, 1, 0, 1]",0.0
458,"[5, 3, 4, 1]",1.0
459,"[6, 3, 4, 1]",1.0
460,"[6, 2, 2, 1]",1.0
461,"[0, 0, 0, 3]",0.0
462,"[2, 2, 2, 1]",1.0
463,"[4, 1, 1, 2]",1.0
464,"[4, 3, 2, 2]",1.0
465,"[1, 1, 0, 1]",0.0
466,"[4, 3, 3, 2]",1.0
467,"[5, 2, 3, 1]",1.0
468,"[2, 3, 3, 8]",0.0
469,"[2, 3, 4, 1]",1.0
470,"[3, 1, 1, 1]",0.0
471,"[0, 0, 0, 0]",0.0
472,"[4, 2, 2, 1]",1.0
473,"[3, 2, 3, 1]",1.0
474,"[4, 1, 3, 2]",1.0
475,"[3, 0, 0, 2]",0.0
476,"[2, 3, 1, 1]",1.0
477,"[3, 0, 0, 1]",0.0
478,"[1, 3, 2, 1]",1.0
479,"[0, 2, 2, 1]",0.0
480,"[4, 1, 1, 1]",0.0
481,"[2, 3, 2, 1]",1.0
482,"[2, 1, 2, 2]",0.0
483,"[0, 0, 0, 0]",0.0
484,"[5, 4, 2, 1]",1.0
485,"[2, 3, 2, 1]",1.0
486,"[7, 4, 1, 1]",1.0
487,"[3, 1, 5, 9]",0.0
488,"[4, 4, 1, 1]",1.0
489,"[1, 3, 4, 2]",1.0
490,"[2, 3, 1, 4]",0.0
491,"[2, 4, 4, 1]",1.0
492,"[1, 0, 0, 1]",0.0
493,"[3, 4, 1, 1]",1.0
494,"[4, 4, 6, 2]",1.0
495,"[2, 1, 3, 3]",0.0
496,"[3, 3, 2, 1]",1.0
497,"[1, 0, 3, 2]",0.0
498,"[1, 1, 4, 2]",0.0
499,"[4, 3, 4, 3]",1.0
500,"[4, 0, 8, 19]",0.0
501,"[0, 2, 0, 1]",0.0
502,"[2, 3, 4, 1]",1.0
503,"[2, 1, 3, 5]",0.0
504,"[1, 4, 4, 1]",1.0
505,"[0, 3, 1, 1]",1.0
506,"[3, 1, 0, 2]",0.0
507,"[1, 2, 3, 1]",1.0
508,"[2, 3, 2, 1]",1.0
509,"[3, 2, 3, 1]",1.0
510,"[2, 4, 3, 1]",1.0
511,"[3, 1, 2, 1]",1.0
512,"[2, 3, 2, 1]",1.0
513,"[4, 4, 2, 1]",0.0
514,"[2, 4, 2, 1]",1.0
515,"[4, 0, 5, 2]",0.0
516,"[1, 0, 1, 4]",0.0
517,"[0, 0, 0, 0]",0.0
518,"[1, 4, 2, 1]",1.0
519,"[5, 1, 0, 2]",0.0
520,"[1, 1, 2, 1]",1.0
521,"[1, 0, 0, 1]",0.0
522,"[0, 4, 2, 1]",1.0
523,"[1, 0, 3, 1]",0.0
524,"[1, 0, 0, 3]",0.0
525,"[4, 2, 5, 2]",1.0
526,"[0, 0, 0, 0]",0.0
527,"[2, 4, 4, 1]",1.0
